siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID
Elkhorn Slough,36.82535,-121.76415,0.0,10477,333.0,2.5,4006.0,4373.0,3688.0,Calibrated radiocarbon years BP,8527,4.0899795501,20.0,489.0,23,25,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,356.0,2.5,4205.0,4647.0,3842.0,Calibrated radiocarbon years BP,8527,8.13008130081,20.0,246.0,20,23,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,406.0,2.5,4548.0,5002.0,4152.0,Calibrated radiocarbon years BP,8527,8.11594202899,28.0,345.0,20,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,453.0,2.5,4870.0,5326.0,4458.0,Calibrated radiocarbon years BP,8527,5.48387096774,17.0,310.0,22,24,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,506.0,2.5,5231.0,5694.0,4811.0,Calibrated radiocarbon years BP,8527,3.7542662116,33.0,879.0,19,21,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,557.0,2.5,5577.0,6021.0,5173.0,Calibrated radiocarbon years BP,8527,3.61010830325,20.0,554.0,23,26,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,580.0,2.5,5735.0,6177.0,5339.0,Calibrated radiocarbon years BP,8527,3.25379609544,15.0,461.0,20,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,606.0,2.5,5911.0,6342.0,5539.0,Calibrated radiocarbon years BP,8527,3.72340425532,28.0,752.0,20,22,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,656.0,2.5,6252.0,6666.0,5949.0,Calibrated radiocarbon years BP,8527,3.96600566572,14.0,353.0,26,28,16063,pollen,Core,ELKHORN,11872
Elkhorn Slough,36.82535,-121.76415,0.0,10477,689.0,2.5,6474.0,6889.0,6270.0,Calibrated radiocarbon years BP,8527,7.02702702703,13.0,185.0,19,22,16063,pollen,Core,ELKHORN,11872
